surveys,variable,label,topic
bhps,cohadv,Advantages in living as couple,Gender & Family
bhps,cohdis,Disadvantages in living as couple,Gender & Family
bhps,crwora,Worry about being affected by crime,"Social Life, Social Cohesion & Trust"
bhps,crworb,Extent of concern about crime,"Social Life, Social Cohesion & Trust"
bhps,dfwld,Different world in future for young,Gender & Family
bhps,lfimpa,Importance of: Health,Health & Morale
bhps,lfimpb,Importance of: Money,Health & Morale
bhps,lfimpc,Importance of: Having children,Health & Morale
bhps,lfimpd,Importance of: Having a good job,Health & Morale
bhps,lfimpe,Importance of: Being independent,Health & Morale
bhps,lfimpf,Importance of: Owning own home,Health & Morale
bhps,lfimpg,Importance of: Good partnership,Health & Morale
bhps,lfimph,Importance of: Good friends,Health & Morale
bhps,opchd1_1,Quality best prep. child: well liked,Gender & Family
bhps,opchd1_2,Quality best prep. child: think for self,Gender & Family
bhps,opchd1_3,Quality best prep. child: work hard,Gender & Family
bhps,opchd1_4,Quality best prep. child: help others,Gender & Family
bhps,opchd1_5,Quality best prep. child: obey parents,Gender & Family
bhps,opcls1,Sees self as belonging to social class,Subjective SES
bhps,opcls2,Subjective social class membership,Subjective SES
bhps,opcls3,Social class affects opportunities,Subjective SES
bhps,opeur1,Opinion: UK membership of EU,"Politics, Government & Economy"
bhps,opeur2,UK benefited from being in EU,"Politics, Government & Economy"
bhps,opeur3,UK long term policy re. EU should be,"Politics, Government & Economy"
bhps,opfama,Pre-school child suffers if mother works,Gender & Family
bhps,opfamb,Family suffers if mother works full-time,Gender & Family
bhps,opfamc,Woman and family happier if she works,Gender & Family
bhps,opfamd,Husband and wife should both contribute,Gender & Family
bhps,opfame,Full time job makes woman independent,Gender & Family
bhps,opfamf,"Husband should earn, wife stay at home",Gender & Family
bhps,opfamg,Children need father as much as mother,Gender & Family
bhps,opfamh,Employers should help with childcare,Gender & Family
bhps,opfami,Single parents are as good as couples,Gender & Family
bhps,opfamj,Cohabiting is always wrong,Gender & Family
bhps,opfamk,Adult children should care for parents,Gender & Family
bhps,opfaml,Divorce better than unhappy marriage,Gender & Family
bhps,opfamm,The man should be head of household,Gender & Family
bhps,opfamn,Bible Gods word and true,Religion & Spirituality
bhps,opfamo,Co-habiting is alright,Gender & Family
bhps,opfamp,Parents ought stay together for children,Gender & Family
bhps,opfamq,Marital status is irrelevant to children,Gender & Family
bhps,opfamr,Homosexual relationships are wrong,Gender & Family
bhps,ophla,All health care should be free,"Politics, Government & Economy"
bhps,ophlb,Compulsory private insurance if can pay,"Politics, Government & Economy"
bhps,ophlc,Unfair that wealth buys medical priority,"Politics, Government & Economy"
