"","surveys","variable","bvar_int_slp","wvar_int_slp","evar_int_slp","label"
"1","bhps","cohadv",0.529630910111362,0.0504868387687407,0.419882251119898,"Advantages In Living As Couple"
"2","bhps","cohdis",0.571938063441948,2.42423251957113e-05,0.428037694232856,"Disadvantages In Living As Couple"
"3","bhps","crwora",0.595966839881984,0.0354462552470772,0.368586904870939,"Worry About Being Affected By Crime"
"4","bhps","crworb",0.612042193640714,0.0658572629110236,0.322100543448263,"Extent Of Concern About Crime"
"5","bhps","dfwld",0.540162971135918,0.0175325396719356,0.442304489192146,"Different World In Future For Young"
"6","bhps","lfimpa",0.591285104066432,0.084846234682122,0.323868661251446,"Importance Of: Health"
"7","bhps","lfimpb",0.673337016940306,0.162237753024075,0.164425230035619,"Importance Of: Money"
"8","bhps","lfimpc",0.78793764558243,0.0855952237849149,0.126467130632655,"Importance Of: Having Children"
"9","bhps","lfimpd",0.60043223063089,0.148877956778947,0.250689812590164,"Importance Of: Having A Good Job"
"10","bhps","lfimpe",0.625530897072628,0.120085293444611,0.254383809482761,"Importance Of: Being Independent"
"11","bhps","lfimpf",0.704163866808095,0.165384299569886,0.130451833622019,"Importance Of: Owning Own Home"
"12","bhps","lfimpg",0.693851659856137,0.114608160176615,0.191540179967248,"Importance Of: Good Partnership"
"13","bhps","lfimph",0.662106591936521,0.16289354981251,0.174999858250969,"Importance Of: Good Friends"
"14","bhps","opchd1_1",0.481729434750099,0.00784728171270277,0.510423283537199,"Quality Best Prep. Child: Well Liked"
"15","bhps","opchd1_2",0.605331509114638,0.0135934404096288,0.381075050475733,"Quality Best Prep. Child: Think For Self"
"16","bhps","opchd1_3",0.527773625926699,0.0880160979897252,0.384210276083576,"Quality Best Prep. Child: Work Hard"
"17","bhps","opchd1_4",0.542528058407377,0.00233034195292248,0.455141599639701,"Quality Best Prep. Child: Help Others"
"18","bhps","opchd1_5",0.583193348059093,0.00451494642658323,0.412291705514324,"Quality Best Prep. Child: Obey Parents"
"19","bhps","opcls1",0.553517635607287,0.107158908528591,0.339323455864122,"Sees Self As Belonging To Social Class"
"20","bhps","opcls2",0.730434125740149,0.0831692361055162,0.186396638154335,"Subjective Social Class Membership"
"21","bhps","opcls3",0.522464386314213,0.0981022430935685,0.379433370592218,"Social Class Affects Opportunities"
"22","bhps","opeur1",0.703891112279,0.109167455553974,0.186941432167026,"Opinion: Uk Membership Of Eu"
"23","bhps","opeur2",0.707594007073248,0.101443613057451,0.190962379869301,"Uk Benefited From Being In Eu"
"24","bhps","opeur3",0.645436836149209,0.0328939393950394,0.321669224455752,"Uk Long Term Policy Re. Eu Should Be"
"25","bhps","opfama",0.629974319249438,0.0668192967056948,0.303206384044867,"Pre-School Child Suffers If Mother Works"
"26","bhps","opfamb",0.643634382780706,0.0673491359349425,0.289016481284351,"Family Suffers If Mother Works Full-Time"
"27","bhps","opfamc",0.460483720552828,0.0728392792153969,0.466677000231775,"Woman And Family Happier If She Works"
"28","bhps","opfamd",0.537440448456956,0.0721634023096462,0.390396149233398,"Husband And Wife Should Both Contribute"
"29","bhps","opfame",0.52719705519669,0.0700233699010057,0.402779574902304,"Full Time Job Makes Woman Independent"
"30","bhps","opfamf",0.678616484040978,0.0492085879113486,0.272174928047674,"Husband Should Earn, Wife Stay At Home"
"31","bhps","opfamg",0.515020569185892,0.0695445381117598,0.415434892702349,"Children Need Father As Much As Mother"
"32","bhps","opfamh",0.585721656824467,0.0742030085417503,0.340075334633783,"Employers Should Help With Childcare"
"33","bhps","opfami",0.657329287420931,0.0516783457089451,0.290992366870124,"Single Parents Are As Good As Couples"
"34","bhps","opfamj",0.754209511867016,0.129988216959468,0.115802271173516,"Cohabiting Is Always Wrong"
"35","bhps","opfamk",0.518252779416068,0.0608679778295038,0.420879242754428,"Adult Children Should Care For Parents"
"36","bhps","opfaml",0.560424818383478,0.0704369002626926,0.36913828135383,"Divorce Better Than Unhappy Marriage"
"37","bhps","opfamm",0.769339398644884,0.105482348970875,0.125178252384241,"The Man Should Be Head Of Household"
