surveys,variable,bvar_int_slp,wvar_int_slp,evar_int_slp,label
bhps,cohadv,0.52963091,0.050486839,0.419882251,Advantages In Living As Couple
bhps,cohdis,0.571938063,2.42E-05,0.428037694,Disadvantages In Living As Couple
bhps,crwora,0.59596684,0.035446255,0.368586905,Worry About Being Affected By Crime
bhps,crworb,0.612042194,0.065857263,0.322100543,Extent Of Concern About Crime
bhps,dfwld,0.540162971,0.01753254,0.442304489,Different World In Future For Young
bhps,lfimpa,0.591285104,0.084846235,0.323868661,Importance Of: Health
bhps,lfimpb,0.673337017,0.162237753,0.16442523,Importance Of: Money
bhps,lfimpc,0.787937646,0.085595224,0.126467131,Importance Of: Having Children
bhps,lfimpd,0.600432231,0.148877957,0.250689813,Importance Of: Having A Good Job
bhps,lfimpe,0.625530897,0.120085293,0.254383809,Importance Of: Being Independent
bhps,lfimpf,0.704163867,0.1653843,0.130451834,Importance Of: Owning Own Home
bhps,lfimpg,0.69385166,0.11460816,0.19154018,Importance Of: Good Partnership
bhps,lfimph,0.662106592,0.16289355,0.174999858,Importance Of: Good Friends
bhps,opchd1_1,0.481729435,0.007847282,0.510423284,Quality Best Prep. Child: Well Liked
bhps,opchd1_2,0.605331509,0.01359344,0.38107505,Quality Best Prep. Child: Think For Self
bhps,opchd1_3,0.527773626,0.088016098,0.384210276,Quality Best Prep. Child: Work Hard
bhps,opchd1_4,0.542528058,0.002330342,0.4551416,Quality Best Prep. Child: Help Others
bhps,opchd1_5,0.583193348,0.004514946,0.412291706,Quality Best Prep. Child: Obey Parents
bhps,opcls1,0.553517636,0.107158909,0.339323456,Sees Self As Belonging To Social Class
bhps,opcls2,0.730434126,0.083169236,0.186396638,Subjective Social Class Membership
bhps,opcls3,0.522464386,0.098102243,0.379433371,Social Class Affects Opportunities
bhps,opeur1,0.703891112,0.109167456,0.186941432,Opinion: Uk Membership Of Eu
bhps,opeur2,0.707594007,0.101443613,0.19096238,Uk Benefited From Being In Eu
bhps,opeur3,0.645436836,0.032893939,0.321669224,Uk Long Term Policy Re. Eu Should Be
bhps,opfama,0.629974319,0.066819297,0.303206384,Pre-School Child Suffers If Mother Works
bhps,opfamb,0.643634383,0.067349136,0.289016481,Family Suffers If Mother Works Full-Time
bhps,opfamc,0.460483721,0.072839279,0.466677,Woman And Family Happier If She Works
bhps,opfamd,0.537440448,0.072163402,0.390396149,Husband And Wife Should Both Contribute
bhps,opfame,0.527197055,0.07002337,0.402779575,Full Time Job Makes Woman Independent
bhps,opfamf,0.678616484,0.049208588,0.272174928,"Husband Should Earn, Wife Stay At Home"
bhps,opfamg,0.515020569,0.069544538,0.415434893,Children Need Father As Much As Mother
bhps,opfamh,0.585721657,0.074203009,0.340075335,Employers Should Help With Childcare
bhps,opfami,0.657329287,0.051678346,0.290992367,Single Parents Are As Good As Couples
bhps,opfamj,0.754209512,0.129988217,0.115802271,Cohabiting Is Always Wrong
bhps,opfamk,0.518252779,0.060867978,0.420879243,Adult Children Should Care For Parents
bhps,opfaml,0.560424818,0.0704369,0.369138281,Divorce Better Than Unhappy Marriage
bhps,opfamm,0.769339399,0.105482349,0.125178252,The Man Should Be Head Of Household
bhps,opfamn,0.819991344,0.073570218,0.106438438,Bible Gods Word And True
bhps,opfamo,0.755785808,0.057351314,0.186862878,Co-Habiting Is Alright
bhps,opfamp,0.641053088,0.078168852,0.28077806,Parents Ought Stay Together For Children
